Chunk ID,Text,Page Range,Line Range,Filename
0,"###國立臺灣大學電機資訊學院資訊工程學系 
國
立
臺
灣
大
學
 資
訊
工
程
學
系
","(1, 1)","(4, 16)",data/game.pdf
1,"### 碩士論文 
Department of Computer Science and Information Engineering                        
College of Electrical Engineering & Computer Science 
National Taiwan University  
碩士論文
","(1, 1)","(17, 22)",data/game.pdf
2," 
遊
戲
演
算
法
在
撲
克
牌
遊
戲-大
老
二
上
的
應
用
與
比
較
","(1, 1)","(23, 45)",data/game.pdf
3," 
黃
源
鱗
","(1, 1)","(46, 54)",data/game.pdf
4," 
撰
","(1, 1)","(55, 57)",data/game.pdf
5," 
2 master thesis 
### 
","(1, 1)","(62, 62)",data/game.pdf
6," 
2 master thesis 
###遊戲演算法在撲克牌遊戲-大老二上的應用與比較    
","(1, 1)","(63, 63)",data/game.pdf
7," 
2 master thesis 
###     The game theory’s application and comparison on 
","(1, 1)","(64, 64)",data/game.pdf
8," 
2 master thesis 
###pokergame Bigtwo 
","(1, 1)","(65, 65)",data/game.pdf
9," 
2 master thesis 
### 
","(1, 1)","(66, 66)",data/game.pdf
10," 
2 master thesis 
###黃源鱗 
","(1, 1)","(67, 67)",data/game.pdf
11," 
2 master thesis 
###Yuan-Lin Huang 
","(1, 1)","(68, 68)",data/game.pdf
12," 
2 master thesis 
### 
指導教授﹕呂育道 教授 
","(1, 1)","(69, 70)",data/game.pdf
13," 
2 master thesis 
###Dr. Yuh-Dauh Lyuu 
","(1, 1)","(71, 71)",data/game.pdf
14," 
2 master thesis 
### 
","(1, 1)","(72, 72)",data/game.pdf
15," 
2 master thesis 
###中華民國 98 年 6 月 
","(1, 1)","(73, 73)",data/game.pdf
16," 
2 master thesis 
###June 2009
","(1, 2)","(74, 75)",data/game.pdf
17," 
i 
","(2, 2)","(76, 77)",data/game.pdf
18,"# 國立臺灣大學碩士學位論文 
","(2, 2)","(78, 78)",data/game.pdf
19,"#口試委員會審定書 
##論文中文題目 
","(2, 2)","(80, 80)",data/game.pdf
