Chunk ID,Text,Page Range,Line Range,Filename
0,第1頁，共14頁 國立臺灣大學學則113.05.31 112學年度第2學期第2次教務會議通過113.06.01 112學年度第2學期第2次校務會議報告113.06.06公告修正第12、45、52、75條（完整修正歷程詳條文末）第壹章  總則第一條 國立臺灣大學（下稱本校）依大學法及其施行細則、學位授予法訂定本學則。,"(1, 1)","(0, 6)",data/ntu.pdf
1,2學年度第2學期第2次校務會議報告113.06.06公告修正第12、45、52、75條（完整修正歷程詳條文末）第壹章  總則第一條 國立臺灣大學（下稱本校）依大學法及其施行細則、學位授予法訂定本學則。第二條 本校依本學則處理學生之學籍及其有關事宜，其細節得另行規定。,"(1, 1)","(2, 7)",data/ntu.pdf
2,第貳章  各學系修讀學士學位班第一節  入學第三條 凡在公立或已立案之私立高級中等學校或同等學校畢業或具有同等學力經本校公開招生錄取者，得入本校修讀學士學位。,"(1, 1)","(8, 11)",data/ntu.pdf
3,第四條 外國學生申請入學本校，依國立臺灣大學外國學生入學要點規定辦理，其要點報教育部核定後實施。,"(1, 1)","(12, 13)",data/ntu.pdf
4,第四條之一  本校與國外大學校院及大陸地區高等學校學生修讀境外雙聯學位，依國立臺灣大學辦理境外雙聯學位實施辦法規定辦理，其辦法報教育部備查。,"(1, 1)","(14, 15)",data/ntu.pdf
5,第五條 具備下列資格之一，並經參加本校轉學考試錄取者，得轉入本校相當年級肄業：一、大學肄業生修業累計滿二學期以上。,"(1, 1)","(16, 17)",data/ntu.pdf
6,二、專科以上學校或專修科畢業。,"(1, 1)","(18, 18)",data/ntu.pdf
7,三、專科同等學力。,"(1, 1)","(19, 19)",data/ntu.pdf
8,四、空中大學肄業全修生修滿三十六學分。,"(1, 1)","(20, 20)",data/ntu.pdf
9,第六條 本校入學考試（含轉學生考試），須訂定公開招生辦法，並報教育部核定後實施。,"(1, 1)","(21, 21)",data/ntu.pdf
10,第七條 經錄取之新生及轉學生有下列情形之一者，即取消其入學資格：一、未於規定日期來校辦理入學手續者。,"(1, 1)","(22, 23)",data/ntu.pdf
11,二、入學考試舞弊，經學校查證屬實或判刑確定者。,"(1, 1)","(24, 24)",data/ntu.pdf
12,三、公費生未依各主管機關規定日期繳交保證書及完成簽約手續者。,"(1, 1)","(25, 25)",data/ntu.pdf
13,第八條 新生有下列情形之一者，得於註冊開始前，檢附證明向教務處申請保留入學資格，惟各類入學管道之招生簡章內規定不得辦理保留入學資格者，從其規定。,"(1, 1)","(26, 27)",data/ntu.pdf
14,一、因重病須長期療養，並持有衛生福利部中央健康保險署（下稱健保署）特約區域醫院以上出具之證明者，以一年為限。,"(1, 1)","(28, 29)",data/ntu.pdf
15,二、持有鄉鎮市區公所以上出具之低收入戶證明書者，以一年為限。,"(1, 1)","(30, 30)",data/ntu.pdf
16,三、因服兵役持有入營服役通知書或在營服役證明書者，依法定役期保留。,"(1, 1)","(31, 31)",data/ntu.pdf
17,四、懷孕、分娩以一年為限；撫育三歲以下子女以三年為限。,"(1, 1)","(32, 32)",data/ntu.pdf
18,五、參加青年教育與就業儲蓄帳戶方案者，得依核准年限申請，以三年為限。,"(1, 1)","(33, 33)",data/ntu.pdf
19,六、僑生、港澳生、陸生及外籍生因故不能按時來校報到入學者，以一年為限。,"(1, 1)","(34, 34)",data/ntu.pdf
20,七、因其他不可抗力因素而無法於當學期註冊入學者，以一年為限。,"(1, 1)","(35, 35)",data/ntu.pdf
21, 【113.06.06發布】第2頁，共14頁 保留期滿須提出入學申請，否則取消入學資格。,"(1, 2)","(35, 36)",data/ntu.pdf
