Chunk ID,Text,Page Range,Line Range,Filename
1,專題書面報告,"(1, 1)","(0, 1)",data/report.pdf
2,結合雲端分散儲存與搜尋引擎之影音網站Video Website with Cloud Distributed Storage and Search Engine,"(1, 1)","(2, 4)",data/report.pdf
3,963847 ,"(1, 1)","(5, 5)",data/report.pdf
4,駱彥呈963808 ,"(1, 1)","(5, 6)",data/report.pdf
5,李哲成963871 ,"(1, 1)","(6, 7)",data/report.pdf
6,梁峻瑞963912 ,"(1, 1)","(7, 8)",data/report.pdf
7,鄭陳嶸963951 ,"(1, 1)","(8, 9)",data/report.pdf
8,劉建安指導教授：楊朝棟 ,"(1, 1)","(9, 10)",data/report.pdf
9,教授High-Performance ,"(1, 1)","(10, 11)",data/report.pdf
10,Computing ,"(1, 1)","(11, 11)",data/report.pdf
11,LaboratoryDepartment ,"(1, 1)","(11, 12)",data/report.pdf
12,of ,"(1, 1)","(12, 12)",data/report.pdf
13,Computer ,"(1, 1)","(12, 12)",data/report.pdf
14,ScienceTunghai ,"(1, 1)","(12, 13)",data/report.pdf
15,"University, ","(1, 1)","(13, 13)",data/report.pdf
16,40704 ,"(1, 1)","(13, 13)",data/report.pdf
17,"Taichung, ","(1, 1)","(13, 13)",data/report.pdf
18,Taiwan ,"(1, 1)","(13, 13)",data/report.pdf
19,R.O.C.中華民國 ,"(1, 1)","(13, 14)",data/report.pdf
20,九十九年十二月十八日1目錄一、摘要 ,"(1, 2)","(14, 17)",data/report.pdf
21, ,"(2, 2)","(17, 17)",data/report.pdf
22,............................................................................................................... ,"(2, 2)","(17, 17)",data/report.pdf
23,2二、研究動機與目標 ,"(2, 2)","(17, 18)",data/report.pdf
24, ,"(2, 2)","(18, 18)",data/report.pdf
25,..................................................................................... ,"(2, 2)","(18, 18)",data/report.pdf
26,2三、背景知識介紹 ,"(2, 2)","(18, 19)",data/report.pdf
27, ,"(2, 2)","(19, 19)",data/report.pdf
28,.......................................................................................... ,"(2, 2)","(19, 19)",data/report.pdf
29,2四、研究方法及步驟 ,"(2, 2)","(19, 20)",data/report.pdf
30, ,"(2, 2)","(20, 20)",data/report.pdf
31,..................................................................................... ,"(2, 2)","(20, 20)",data/report.pdf
32,6五、系統架構與設計 ,"(2, 2)","(20, 21)",data/report.pdf
33, ,"(2, 2)","(21, 21)",data/report.pdf
34,..................................................................................... ,"(2, 2)","(21, 21)",data/report.pdf
35,9六、安裝與實作流程 ,"(2, 2)","(21, 22)",data/report.pdf
36, ,"(2, 2)","(22, 22)",data/report.pdf
37,................................................................................... ,"(2, 2)","(22, 22)",data/report.pdf
38,12七、實驗結果與展示 ,"(2, 2)","(22, 23)",data/report.pdf
39, ,"(2, 2)","(23, 23)",data/report.pdf
40,................................................................................... ,"(2, 2)","(23, 23)",data/report.pdf
41,43八、結論 ,"(2, 2)","(23, 24)",data/report.pdf
42, ,"(2, 2)","(24, 24)",data/report.pdf
43,............................................................................................................. ,"(2, 2)","(24, 24)",data/report.pdf
44,48九、未來展望 ,"(2, 2)","(24, 25)",data/report.pdf
45, ,"(2, 2)","(25, 25)",data/report.pdf
46,................................................................................................... ,"(2, 2)","(25, 25)",data/report.pdf
47,49十、參考資料及網站 ,"(2, 2)","(25, 26)",data/report.pdf
